time,water_depth_basin1,water_depth_basin2,orifice_setting,rain,forecast_low,forecast_high,forecast_int,water_depth_stream1_reported,water_depth_stream1_true,nn_active
2019-09-05 19:00,0.046969352081456306,0.027969375752641825,0.2499999999999999,0.0,361,361,0.0,0.009459833807697665,0.009459833807697665,0
2019-09-05 19:30,0.04581766011514463,0.027767853271023227,0.2499999999999999,0.0,361,361,0.0,0.009417841016195331,0.009417841016195331,0
2019-09-05 20:00,0.04470935394225116,0.027567931522685822,0.2499999999999999,0.0,361,361,0.0,0.009375694004231674,0.009375694004231674,0
2019-09-05 20:30,0.04364255469314175,0.027369713058880234,0.2499999999999999,0.0,361,361,0.0,0.009333516997301413,0.009333516997301413,0
2019-09-05 21:00,0.04261533594682122,0.027173292775482135,0.2499999999999999,0.0,361,361,0.0,0.009291409670997718,0.009291409670997718,0
2019-09-05 21:30,0.04162578853534107,0.02697875468832649,0.2499999999999999,0.0,361,361,0.0,0.009249451171687939,0.009249451171687939,0
2019-09-05 22:00,0.040672062366364316,0.026786170362640315,0.2499999999999999,0.0,361,361,0.0,0.009207703641555598,0.009207703641555598,0
2019-09-05 22:30,0.03975239096480651,0.026595598481027348,0.2499999999999999,0.0,361,361,0.0,0.009166215257869308,0.009166215257869308,0
2019-09-05 23:00,0.038865103682730474,0.026407085164492958,0.2499999999999999,0.0,361,361,0.0,0.009125022816169845,0.009125022816169845,0
2019-09-05 23:30,0.03800862959484907,0.026220664763135896,0.2499999999999999,0.0,361,361,0.0,0.009125022888183594,0.009084153899054514,1
2019-09-06 00:00,0.037181496149485495,0.02603636091248222,0.2499999999999999,0.0,361,361,0.0,0.009315125346183777,0.009043628678128324,1
2019-09-06 00:30,0.03638232478994607,0.02585418771224979,0.2499999999999999,0.0,361,361,0.0,0.008945082426071166,0.009003461398054092,1
2019-09-06 01:00,0.0356098250548434,0.025674150930242157,0.2499999999999999,0.0,361,361,0.0,0.00883863925933838,0.008963661589856424,1
2019-09-06 01:30,0.0348627881229972,0.025496249168130584,0.2499999999999999,0.0,361,361,0.0,0.007936920523643493,0.008924235056888644,1
2019-09-06 02:00,0.034140080377516376,0.025320474950632582,0.2499999999999999,0.0,293,359,0.036968571428571434,0.008371307253837586,0.008885184672084972,1
2019-09-06 02:30,0.0334406372989791,0.025146815717172383,0.2499999999999999,0.0,293,359,0.036968571428571434,0.009245206713676452,0.008846511019975767,1
2019-09-06 03:00,0.03276345782948885,0.024975254707232757,0.2499999999999999,0.0,239,293,0.029085818181818202,0.007015178799629211,0.008808212911906579,1
2019-09-06 03:30,0.032107599249850814,0.024805771738672395,0.2499999999999999,0.0,239,293,0.029085818181818202,0.007408683896064758,0.00877028779825029,1
2019-09-06 04:00,0.03147217255816289,0.024638343883396044,1.0,0.0,185,227,0.029085818181818202,0.009458457827568054,0.008732732097279173,1
2019-09-06 04:30,0.018694978546765384,0.0244803998973496,1.0,0.0,185,227,0.029085818181818202,0.008460477590560914,0.008733236511547266,1
2019-09-06 05:00,0.018570385906718116,0.024322991152178265,0.2499999999999999,0.0,131,161,0.029085818181818202,0.009150160551071167,0.008687762915953441,1
2019-09-06 05:30,0.027035360305383373,0.024161349940519824,0.2499999999999999,0.0,131,161,0.029085818181818202,0.008618307027313744,0.008618307027313744,0
2019-09-06 06:00,0.028329190921921855,0.023997501087218705,0.2499999999999999,0.0,77,95,0.029085818181818202,0.008575844970847013,0.008575844970847013,0
2019-09-06 06:30,0.028327034049761047,0.023835715341373097,0.2499999999999999,0.0,77,95,0.029085818181818202,0.008539710209555185,0.008539710209555185,0
2019-09-06 07:00,0.02796441330692268,0.023676812996791155,0.2499999999999999,0.0,23,29,0.029085818181818202,0.008505427913637842,0.008505427913637842,0
2019-09-06 07:30,0.030754118183123055,0.026566282615283064,0.2499999999999999,0.5332800000000004,23,29,0.029085818181818202,0.008473011329634583,0.008473011329634583,0
