2662,712
2672,713
2682,713
2692,712
2702,714.5
2712,713.5
2722,713.5
2732,713.5
2742,712
2752,710
2762,714
2772,714
2782,714
2792,712
2802,713.5
2812,714
2822,714.5
2832,713
2842,714
2852,714.5
2862,713.5
2872,714
2882,714
2892,715
2902,715
2912,713
2922,714
2932,714
2942,712
2952,715
2962,712
2972,715
2982,715.5
2992,715
3002,714
3012,712.5
3022,714.5
3032,715.5
3042,715
3052,715.5
3062,717
3072,715
3082,716.5
3092,716.5
3102,715
3112,715
3122,716
3132,714.5
3142,716
3152,714
3162,716
3172,716
3182,717
3192,717.5
3202,718
3212,716
3222,716.5
3232,717
3242,717
3252,718
3262,717.5
3272,715.5
3282,717
3292,716.5
3302,720
3312,719.5
3322,719
3332,719
3342,719
3352,718
3362,717
3372,720
3382,720
3392,719
3402,720
3412,719.5
3422,720
3432,720
3442,721.5
3452,721.5
3462,719
3472,719.5
3482,721
3492,721.5
3502,721
3512,721.5
3522,722
3532,721.5
3542,723.5
3552,723.5
3562,724
3572,720.5
3582,723
3592,723.5
3602,725.5
3612,725.5
3622,724
3632,725
3642,725
3652,724.5
3662,725.5
3672,724
3682,726.5
3692,727
3702,726
3712,723.5
3722,727.5
3732,727
3742,726
3752,727
3762,726
3772,726
3782,728.5
3792,728
3802,728.5
3812,728.5
3822,727
3832,727
3842,730
3852,730
3862,729.5
3872,729
3882,729
3892,729
3902,731
3912,734.5
3922,736
3932,737.5
3942,736.5
3952,736
3962,740
3972,741.5
3982,741
3992,742.5
4002,744
4012,745
4022,747
4032,748
4042,749.5
4052,753
4062,752.5
4072,750
4082,751.5
4092,756.5
4102,760
4112,759
4122,758.5
4132,758.5
4142,762.5
4153,763
4162,767
4172,769.5
4183,769.5
4192,765
4202,769
4212,772
4223,771.5
4232,773.5
4243,772.5
4253,774.5
4263,777
4273,780
4283,781
4293,783
4303,782.5
4313,781
4323,784
4333,787
4343,787.5
4353,789
4363,789
4373,787.5
4383,792
4393,795
4403,796
4413,797
4423,796
4433,797
4443,799.5
4453,802.5
4463,802
4473,805
4483,804.5
4493,803.5
4503,806
4513,807
4523,803.5
4533,806
4543,804
4553,802.5
4563,808.5
4573,805.5
4583,806.5
4593,807.5
4603,807
4613,804.5
4623,810
4633,807
4643,806.5
4653,809
4663,808.5
4673,806.5
4683,810
4693,810.5
4703,810.5
4713,810.5
4723,809
4733,809.5
4743,811
4753,812
4763,811
4773,812
4783,810
4793,810
4803,810
4813,810.5
4823,813
4833,813
4843,812
4853,811
4863,814.5
4873,811.5
4883,812.5
4893,814
4903,813.5
4913,812.5
4923,816
4933,817
4943,813.5
4953,816.5
4963,816
4973,813
4983,816
4993,814.5
5003,817.5
5013,814.5
5023,814
5033,816
5043,818.5
5053,819.5
5063,819
5073,817
5083,817.5
5093,818
5103,822
5113,822
5123,821.5
5133,818.5
5143,821.5
5153,819
5163,825
5173,822.5
5183,825
5193,825
5203,822.5
5213,825
5223,823.5
5233,827
5243,824
5253,824
5263,825.5
5273,826
5283,827.5
5293,831
5303,827.5
5313,831
5323,830.5
5333,829.5
5343,829
5353,833
5363,830
5373,832.5
5383,831
