time,rain,forecast_low,forecast_high,forecast_int,water_depth_basin1,orifice_setting1,water_depth_basin2,orifice_setting2
2019-09-07 05:00,0.0,241,241,0.0,0.3893522992086302,0.629844610741531,2.25,2.25
2019-09-07 06:00,0.0,241,241,0.0,0.4059034709484012,0.6351159761157708,2.25,2.25
2019-09-07 07:00,0.0,241,241,0.0,0.419038957207822,0.6387990115254821,2.25,2.25
2019-09-07 08:00,0.0,241,241,0.0,0.42934472425880416,0.6410551431038655,2.25,2.25
2019-09-07 09:00,0.0,241,241,0.0,0.4372516759565471,0.6420184070447015,2.25,2.25
2019-09-07 10:00,0.0,241,241,0.0,0.4430882228838256,0.64180219199395,2.25,2.25
2019-09-07 11:00,0.0,241,241,0.0,0.4471116808284799,0.6405035776298099,2.25,2.25
2019-09-07 12:00,0.0,241,241,0.0,0.4495281287176587,0.638206385874528,2.25,2.25
2019-09-07 13:00,0.0,241,241,0.0,0.45050555625231786,0.63498345298278,2.25,2.25
2019-09-07 14:00,0.0,241,241,0.0,0.45018290080969425,0.6308983845863599,2.25,2.25
2019-09-07 15:00,0.0,241,241,0.0,0.44867645541817713,0.6260069444485312,2.25,2.25
2019-09-07 16:00,0.0,241,241,0.0,0.4460845338101478,0.6203581718503052,2.25,2.25
2019-09-07 17:00,0.0,241,241,0.0,0.44249094414917184,0.6139952916510925,2.25,2.25
2019-09-07 18:00,0.0,241,241,0.0,0.43796762694045455,0.6069564624352296,2.25,2.25
2019-09-07 19:00,0.0,241,241,0.0,0.4325766932762218,0.5992753960897148,2.25,2.25
2019-09-07 20:00,0.0,241,241,0.0,0.4263720245496398,0.5909818739109876,2.25,2.25
2019-09-07 21:00,0.0,241,241,0.0,0.41940054631419865,0.5821021784748462,2.25,2.25
2019-09-07 22:00,0.0,241,241,0.0,0.411703256945906,0.5726594562135742,2.25,2.25
2019-09-07 23:00,0.0,241,241,0.0,0.4033160702345139,0.5626740224393075,2.25,2.25
2019-09-08 00:00,0.0,241,241,0.0,0.3942705164029914,0.5521636181207447,2.25,2.25
2019-09-08 01:00,0.0,241,241,0.0,0.38459433613624633,0.5411436258543246,2.25,2.25
2019-09-08 02:00,0.0,241,241,0.0,0.374311995645659,0.5296272510300292,2.25,2.25
2019-09-08 03:00,0.0,241,241,0.0,0.3634451468100194,0.5176256730790592,2.25,2.25
2019-09-08 04:00,0.0,241,241,0.0,0.3520130546077705,0.5051481708409622,2.25,2.25
2019-09-08 05:00,0.0,241,241,0.0,0.3400330142937574,0.4922022254611169,2.25,2.25
2019-09-08 06:00,0.0,241,241,0.0,0.32752078328181994,0.4787936038077924,3.0,2.25
2019-09-08 07:00,0.0,241,241,0.0,0.08793154848000222,0.464950333397803,2.25,2.25
2019-09-08 08:00,0.0,241,241,0.0,0.09923287358729076,0.45070265210183436,2.25,2.25
2019-09-08 09:00,0.0,241,241,0.0,0.10437823290141574,0.4359876320331056,2.25,2.25
2019-09-08 10:00,0.0,241,241,0.0,0.10605475863223478,0.42078785497090654,2.25,2.25
2019-09-08 11:00,0.0,241,241,0.0,0.10556689802548498,0.40510600471793023,2.25,2.25
2019-09-08 12:00,0.0,241,241,0.0,0.10361737216612026,0.3889459983784098,2.25,2.25
2019-09-08 13:00,0.0,241,241,0.0,0.1006506577723443,0.37230885459729224,2.25,2.25
2019-09-08 14:00,0.0,241,241,0.0,0.09698222583784827,0.35519237859551056,2.25,2.25
2019-09-08 15:00,0.0,241,241,0.0,0.09285532189328402,0.3375917536375418,3.0,2.25
2019-09-08 16:00,0.0,241,241,0.0,0.03306626256075865,0.3195062093720885,2.25,2.25
2019-09-08 17:00,0.0,241,241,0.0,0.059612883448758425,0.30092582307860877,2.25,2.25
2019-09-08 18:00,0.0,241,241,0.0,0.06596942129908298,0.2818340239378475,2.25,2.25
2019-09-08 19:00,0.0,241,241,0.0,0.06742575400783377,0.26222498292243196,2.25,2.25
2019-09-08 20:00,0.0,241,241,0.0,0.06669534381507065,0.2420991126355214,2.25,2.25
2019-09-08 21:00,0.0,241,241,0.0,0.06486628578978121,0.2214650521046843,2.25,2.25
2019-09-08 22:00,0.0,241,241,0.0,0.06250038361134093,0.20034685729036825,2.25,2.25
2019-09-08 23:00,0.0,241,241,0.0,0.059919637627859915,0.1787976736253504,2.25,2.25
2019-09-09 00:00,0.0,241,241,0.0,0.05731218354851407,0.1569249042450422,2.25,2.25
2019-09-09 01:00,0.0,241,241,0.0,0.05478290745463729,0.13493723216101283,2.25,2.25
2019-09-09 02:00,0.0,241,241,0.0,0.05238362035724967,0.11323226121987055,2.25,2.25
2019-09-09 03:00,0.0,241,241,0.0,0.0501336284425511,0.0925484682660319,2.25,3.0
2019-09-09 04:00,0.0,241,241,0.0,0.04803404162768083,0.029581972917443976,2.25,2.25
2019-09-09 05:00,0.0,241,241,0.0,0.04607713167055602,0.04327372600513919,2.25,2.25
2019-09-09 06:00,0.0,241,241,0.0,0.04425184937651276,0.044426575182893946,2.25,2.25
2019-09-09 07:00,0.0,241,241,0.0,0.0425466612737055,0.0434872093670767,2.25,2.25
2019-09-09 08:00,0.0,241,241,0.0,0.04095076438250296,0.0420624165040389,2.25,2.25
2019-09-09 09:00,0.0,241,241,0.0,0.03945446207153411,0.040580745511617014,2.25,2.25
2019-09-09 10:00,0.0,241,241,0.0,0.03804917199947324,0.03915527922678383,2.25,2.25
2019-09-09 11:00,0.0,241,241,0.0,0.036727308027145245,0.037808693791149255,2.25,2.25
2019-09-09 12:00,0.0,241,241,0.0,0.03548214002143845,0.03654019550342971,2.25,2.25
2019-09-09 13:00,0.0,241,241,0.0,0.03430766709300625,0.03534425077235322,2.25,2.25
2019-09-09 14:00,0.0,241,241,0.0,0.03319851174091096,0.03421509882838579,2.25,2.25
2019-09-09 15:00,0.0,188,230,0.010666875000000008,0.032149833202028015,0.03314755687223946,2.25,2.25
2019-09-09 16:00,0.0,134,164,0.0064389130434782515,0.03115725639213385,0.03213703001782597,2.25,2.25
2019-09-09 17:00,0.0,80,98,0.005233026315789479,0.030216813118551934,0.03117941192016483,2.25,2.25
2019-09-09 18:00,0.0,26,32,0.005998922155688631,0.02932489295147528,0.03027100000717452,2.25,2.25
2019-09-09 19:00,0.3367799999999921,0,0,0.004889999999999991,0.03965817937698747,0.040413633652512326,2.25,2.25
2019-09-09 20:00,0.2515199999999904,0,0,0.005441052631578946,0.05709770553491851,0.05768377656922089,2.25,2.25
2019-09-09 21:00,0.2037600000000035,0,0,0.013110000000000004,0.07435085186560575,0.07476915197249723,2.25,2.25
2019-09-09 22:00,0.2097599999999975,107,131,0.02962622950819677,0.0959954574523696,0.09626338853095529,3.0,3.0
2019-09-09 23:00,0.0,53,65,0.032417472527472506,0.035551173529478695,0.036150903092444876,2.25,2.25
