time,water_depth_basin1,water_depth_basin2,orifice_setting,rain,forecast_low,forecast_high,forecast_int,overflow_duration_basin1,overflow_duration_basin2
2019-09-11 11:00,1.9001510264612602,1.972394027488701,3.75,0.0,10,12,0.022441188118811902,0.6138888888888889,19.930555555555557
2019-09-11 12:00,1.7852297511456487,1.9625139336310833,3.75,1.83329999999998,0,0,0.01955267716535436,0.6138888888888889,19.930555555555557
2019-09-11 13:00,1.6877273893547176,1.9694638134396616,2.25,2.5171799999999607,0,0,0.01262474226804126,0.6138888888888889,19.930555555555557
2019-09-11 14:00,1.751753303793775,1.9880094966725859,2.25,1.1129399999999876,0,0,0.009972089552238798,0.6138888888888889,19.930555555555557
2019-09-11 15:00,1.8127244857604878,1.9999999999999998,2.25,0.49787999999996657,0,0,0.011329459459459451,0.6138888888888889,20.258333333333333
2019-09-11 16:00,1.8679603577031545,1.9999999999999998,2.25,0.3715199999999186,0,0,0.03334714285714286,0.6138888888888889,21.258333333333333
2019-09-11 17:00,1.9205948908739958,1.9999999999999998,2.25,0.46685999999998273,721,721,0.0,0.6138888888888889,22.258333333333333
2019-09-11 18:00,1.9655530078608576,1.9999999999999998,2.25,0.0,721,721,0.0,0.6138888888888889,23.258333333333333
2019-09-11 19:00,1.9999999999999998,1.9998895595081367,3.75,0.0,721,721,0.0,0.7194444444444444,24.04722222222222
2019-09-11 20:00,1.8938810291781798,1.9965635964606476,2.25,0.0,721,721,0.0,0.7194444444444444,24.04722222222222
2019-09-11 21:00,1.9239656786302641,1.9890104156664772,2.25,0.0,721,721,0.0,0.7194444444444444,24.04722222222222
2019-09-11 22:00,1.949801265144004,1.9776352498452303,2.25,0.0,721,721,0.0,0.7194444444444444,24.04722222222222
2019-09-11 23:00,1.971860593788583,1.9629484163156221,2.25,0.0,721,721,0.0,0.7194444444444444,24.04722222222222
2019-09-12 00:00,1.9906720950152343,1.9453388640070481,2.25,0.0,721,721,0.0,0.7194444444444444,24.04722222222222
2019-09-12 01:00,1.9999999999999998,1.9251136439059986,3.75,0.0,721,721,0.0,1.1583333333333334,24.04722222222222
2019-09-12 02:00,1.8732875432354712,1.9026060788702566,2.25,0.0,721,721,0.0,1.1583333333333334,24.04722222222222
2019-09-12 03:00,1.885932800567329,1.878013662689818,2.25,0.0,721,721,0.0,1.1583333333333334,24.04722222222222
2019-09-12 04:00,1.8966683685575383,1.8513436450705514,2.25,0.0,721,721,0.0,1.1583333333333334,24.04722222222222
2019-09-12 05:00,1.9055542216904506,1.8228060188823163,2.25,0.0,721,721,0.0,1.1583333333333334,24.04722222222222
2019-09-12 06:00,1.9127954799945155,1.7925538817189632,2.25,0.0,721,721,0.0,1.1583333333333334,24.04722222222222
2019-09-12 07:00,1.918565342350069,1.7606983983805145,2.25,0.0,721,721,0.0,1.1583333333333334,24.04722222222222
2019-09-12 08:00,1.9230126254590811,1.7273277956024045,3.0,0.0,612,748,0.01910926829268292,1.1583333333333334,24.04722222222222
2019-09-12 09:00,1.8472761565231441,1.6925650429049937,2.25,0.0,558,682,0.018591627906976736,1.1583333333333334,24.04722222222222
2019-09-12 10:00,1.8497587277453118,1.6564741394442295,2.25,0.0,504,616,0.018591627906976736,1.1583333333333334,24.04722222222222
2019-09-12 11:00,1.851307954876173,1.6189820116312057,2.25,0.0,450,550,0.018591627906976736,1.1583333333333334,24.04722222222222
2019-09-12 12:00,1.851916857576576,1.5801571761453774,2.25,0.0,396,484,0.018591627906976736,1.1583333333333334,24.04722222222222
2019-09-12 13:00,1.851668156524692,1.540047839906965,2.25,0.0,342,418,0.018591627906976736,1.1583333333333334,24.04722222222222
2019-09-12 14:00,1.8506331888215286,1.498678034046868,3.0,0.0,288,352,0.018591627906976736,1.1583333333333334,24.04722222222222
2019-09-12 15:00,1.7679869133861639,1.4561193023960852,2.25,0.0,234,286,0.018591627906976736,1.1583333333333334,24.04722222222222
2019-09-12 16:00,1.7656976511574753,1.4123898743755237,2.25,0.0,180,220,0.018591627906976736,1.1583333333333334,24.04722222222222
2019-09-12 17:00,1.7628576607907442,1.3673280131486554,2.25,0.0,126,154,0.018591627906976736,1.1583333333333334,24.04722222222222
2019-09-12 18:00,1.7594145009584747,1.3209472646516975,2.25,0.0,72,88,0.018591627906976736,1.1583333333333334,24.04722222222222
2019-09-12 19:00,1.7554136859128704,1.2732491483116637,2.25,0.0,18,22,0.018591627906976736,1.1583333333333334,24.04722222222222
2019-09-12 20:00,1.7528613264518929,1.2270021818083603,2.25,0.7755000000000578,0,0,0.00798,1.1583333333333334,24.04722222222222
2019-09-12 21:00,1.7519973767376251,1.1826981603996016,2.25,0.023940000000010286,60,74,0.0069565116279069715,1.1583333333333334,24.04722222222222
2019-09-12 22:00,1.750391208385668,1.1368809335367966,2.25,0.0,6,8,0.0069565116279069715,1.1583333333333334,24.04722222222222
2019-09-12 23:00,1.7495071218818872,1.0917453498000014,2.25,0.3809400000001588,0,0,0.006585454545454547,1.1583333333333334,24.04722222222222
2019-09-13 00:00,1.7494705682303018,1.0475852684268023,2.25,0.21732000000002216,574,702,0.19998,1.1583333333333334,24.04722222222222
2019-09-13 01:00,1.7489814675749376,1.0023045982054217,2.25,0.0,520,636,0.19998,1.1583333333333334,24.04722222222222
2019-09-13 02:00,1.747711880338169,0.9552349103963749,2.25,0.0,466,570,0.19998,1.1583333333333334,24.04722222222222
2019-09-13 03:00,1.7457217986959939,0.9063198174082608,2.25,0.0,412,504,0.19998,1.1583333333333334,24.04722222222222
2019-09-13 04:00,1.7430656084471086,0.8554901184710424,2.25,0.0,358,438,0.19998,1.1583333333333334,24.04722222222222
2019-09-13 05:00,1.7397922082716297,0.8026588591178377,2.25,0.0,304,372,0.19998,1.1583333333333334,24.04722222222222
2019-09-13 06:00,1.7359455078943464,0.7477151558694858,3.0,0.0,250,306,0.19998,1.1583333333333334,24.04722222222222
2019-09-13 07:00,1.647624156172283,0.690693346626487,2.25,0.0,196,240,0.19998,1.1583333333333334,24.04722222222222
2019-09-13 08:00,1.6427964790972347,0.6315721592889527,2.25,0.0,142,174,0.19998,1.1583333333333334,24.04722222222222
2019-09-13 09:00,1.637575800802086,0.5696162241639088,2.25,0.0,88,108,0.19998,1.1583333333333334,24.04722222222222
2019-09-13 10:00,1.6318902583245916,0.5045868466019772,2.25,0.0,34,42,0.19998,1.1583333333333334,24.04722222222222
2019-09-13 11:00,1.6272337171239475,0.44156517827729347,2.25,0.7999199999999931,721,721,0.0,1.1583333333333334,24.04722222222222
2019-09-13 12:00,1.6249468318337956,0.38674926906018237,2.25,0.0,721,721,0.0,1.1583333333333334,24.04722222222222
2019-09-13 13:00,1.622002832649907,0.33017910223455815,2.25,0.0,721,721,0.0,1.1583333333333334,24.04722222222222
2019-09-13 14:00,1.6184447633495909,0.27257237936931705,2.25,0.0,721,721,0.0,1.1583333333333334,24.04722222222222
2019-09-13 15:00,1.6143134643676795,0.2155892564889124,2.25,0.0,721,721,0.0,1.1583333333333334,24.04722222222222
2019-09-13 16:00,1.6096468607890084,0.1631316732579771,2.25,0.0,721,721,0.0,1.1583333333333334,24.04722222222222
2019-09-13 17:00,1.6044795521966029,0.12250215090969373,2.25,0.0,721,721,0.0,1.1583333333333334,24.04722222222222
2019-09-13 18:00,1.5988429301102363,0.09951728896043294,2.25,0.0,721,721,0.0,1.1583333333333334,24.04722222222222
2019-09-13 19:00,1.5927654580936301,0.08912974105869469,2.25,0.0,721,721,0.0,1.1583333333333334,24.04722222222222
2019-09-13 20:00,1.5862729713843982,0.08549435466170592,2.25,0.0,721,721,0.0,1.1583333333333334,24.04722222222222
2019-09-13 21:00,1.579388954687295,0.08449419918356091,2.25,0.0,721,721,0.0,1.1583333333333334,24.04722222222222
2019-09-13 22:00,1.5721347895761753,0.08352313765827406,2.25,0.0,721,721,0.0,1.1583333333333334,24.04722222222222
2019-09-13 23:00,1.5645299723307027,0.08264058202090759,2.25,0.0,721,721,0.0,1.1583333333333334,24.04722222222222
2019-09-14 00:00,1.5565923053556878,0.08082955217987527,2.25,0.0,721,721,0.0,1.1583333333333334,24.04722222222222
